"Unnamed..0","Company","TypeName","Inches","ScreenResolution","Cpu","Ram","Memory","Gpu","OpSys","Weight","Price","Ram_Numeric"
673,"Lenovo","Notebook","35.6","1366x768","AMD E-Series E2-9000 2.2GHz","4GB","128GB SSD","AMD Radeon R2 Graphics","Windows 10","2.2kg",18594.72,4
674,"HP","2 in 1 Convertible","14","IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i3 7100U 2.4GHz","4GB","128GB SSD","Nvidia GeForce 940MX","Windows 10","1.63kg",37242.72,4
675,"MSI","Gaming","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.4kg",68944.32,16
676,"Asus","Ultrabook","14","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.1kg",60472.8,8
677,"HP","2 in 1 Convertible","11.6","Touchscreen 1366x768","Intel Celeron Dual Core N3350 1.1GHz","8GB","64GB Flash Storage","Intel HD Graphics 500","Chrome OS","1.4kg",26373.6,8
678,"LG","Ultrabook","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.09kg",122490.72,8
679,"Acer","Gaming","15.6","Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","16GB","256GB SSD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.5kg",69210.72,16
680,"MSI","Gaming","15.6","Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","256GB SSD","Nvidia GeForce GTX 1050","Windows 10","2.2kg",53168.112,8
681,"Asus","Notebook","15.6","1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","128GB SSD","Intel HD Graphics 500","Windows 10","1.86kg",22324.32,4
682,"Dell","Gaming","15.6","Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","16GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","3.21kg",109277.28,16
683,"HP","Notebook","17.3","IPS Panel Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","256GB SSD","AMD Radeon R5 520","Windows 10","2.5kg",37242.72,4
684,"Lenovo","2 in 1 Convertible","13.3","IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","512GB SSD","Intel UHD Graphics 620","Windows 10","1.19kg",79866.72,8
685,"Dell","Gaming","15.6","Full HD 1920x1080","Intel Core i7 7820HK 2.9GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10","3.49kg",149916.6,16
686,"HP","Notebook","15.6","1366x768","Intel Core i5 7200U 2.5GHz","4GB","500GB HDD","AMD Radeon 520","Windows 10","1.86kg",32639.8608,4
687,"Dell","Notebook","15.6","1366x768","Intel Core i3 6006U 2GHz","4GB","1TB HDD","AMD Radeon R5 M430","Windows 10","2.2kg",29073.2976,4
688,"HP","Notebook","17.3","IPS Panel Full HD 1920x1080","AMD A10-Series 9600P 2.4GHz","6GB","2TB HDD","AMD Radeon R7 M440","Windows 10","2.65kg",30316.32,6
689,"Lenovo","Notebook","15.6","1366x768","Intel Celeron Dual Core 3855U 1.6GHz","4GB","500GB HDD","Intel HD Graphics 510","Windows 10","2.1kg",16943.04,4
690,"Acer","Notebook","14","1366x768","Intel Celeron Dual Core 3855U 1.6GHz","4GB","32GB Flash Storage","Intel HD Graphics 510","Chrome OS","1.45kg",19980,4
691,"Lenovo","Notebook","14","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.7kg",37242.72,4
692,"HP","Workstation","17.3","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","500GB HDD","Nvidia Quadro M1200","Windows 10","3.14kg",101657.7072,8
693,"Lenovo","2 in 1 Convertible","14","Touchscreen 2560x1440","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.42kg",137995.2,8
694,"Toshiba","Notebook","13.3","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.5kg",51841.44,8
695,"Acer","Netbook","11.6","1366x768","Intel Celeron Dual Core N3050 1.6GHz","4GB","32GB Flash Storage","Intel HD Graphics","Windows 10","1.4kg",14332.32,4
696,"Lenovo","2 in 1 Convertible","14","Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz","16GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.38kg",93186.72,16
697,"Asus","2 in 1 Convertible","12.5","Full HD / Touchscreen 1920x1080","Intel Core M M3-6Y30 0.9GHz","4GB","64GB Flash Storage","Intel HD Graphics 515","Chrome OS","1.2kg",35644.32,4
698,"Toshiba","Ultrabook","13.3","Full HD / Touchscreen 1920x1080","Intel Core i7 6500U 2.5GHz","16GB","512GB SSD","Intel HD Graphics 520","Windows 10","1.36kg",100006.56,16
700,"Dell","Gaming","15.6","Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.56kg",43636.32,8
701,"Lenovo","Notebook","15.6","Full HD 1920x1080","AMD A9-Series 9420 2.9GHz","4GB","256GB SSD","AMD Radeon 530","Windows 10","2.2kg",21258.72,4
702,"Lenovo","Notebook","15.6","1366x768","AMD A12-Series 9720P 3.6GHz","8GB","1TB HDD","AMD Radeon R7","Windows 10","2.2kg",22857.12,8
703,"Lenovo","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","1TB HDD +  1TB HDD","Intel HD Graphics 620","Windows 10","2.1kg",33110.856,4
704,"Lenovo","Notebook","15.6","1366x768","Intel Core i3 6006U 2GHz","4GB","500GB HDD","Intel HD Graphics 520","No OS","1.90kg",23976,4
705,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","2.18kg",42357.6,8
706,"Acer","2 in 1 Convertible","13.3","IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz","1GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.6kg",53226.72,1
707,"Lenovo","Workstation","15.6","Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","16GB","512GB SSD","Nvidia Quadro M520M","Windows 7","2.18kg",98834.4,16
708,"Lenovo","Notebook","14","Full HD 1920x1080","Intel Core i5 6300HQ 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","1.8kg",63456.48,8
709,"HP","Notebook","17.3","IPS Panel Full HD 1920x1080","AMD A10-Series 9620P 2.5GHz","6GB","2TB HDD","AMD Radeon 530","Windows 10","2.71kg",34898.9328,6
710,"Lenovo","Gaming","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.5kg",66546.72,8
711,"Dell","Notebook","14","Full HD 1920x1080","Intel Core i5 7440HQ 2.8GHz","8GB","256GB SSD","Nvidia GeForce 930MX","Linux","1.64kg",58021.92,8
712,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","1TB HDD","Intel HD Graphics 620","Linux","1.98kg",38681.28,8
713,"Asus","Notebook","14","Full HD 1920x1080","Intel Celeron Dual Core N3350 1.1GHz","4GB","32GB Flash Storage","Intel HD Graphics 500","Windows 10","1.5kg",15877.44,4
714,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7300U 2.6GHz","16GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.93kg",76012.4448,16
715,"Lenovo","Notebook","14","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Nvidia GeForce 920MX","Windows 10","1.87kg",45664.6896,8
716,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7300U 2.6GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.9kg",62817.12,8
717,"Lenovo","Notebook","15.6","1366x768","AMD A6-Series 7310 2GHz","4GB","500GB HDD","AMD Radeon R4","Windows 10","2.19kg",15877.44,4
718,"Mediacom","Notebook","14","IPS Panel Full HD 1920x1200","Intel Atom Z8350 1.92GHz","4GB","32GB HDD","Intel HD Graphics 400","Windows 10","1.4kg",14119.2,4
719,"HP","Notebook","17.3","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Nvidia GeForce 930MX","Windows 10","2.63kg",63936,8
720,"Lenovo","Ultrabook","14","IPS Panel Quad HD+ 2560x1440","Intel Core i7 6500U 2.5GHz","64GB","512GB SSD","Intel HD Graphics 520","Windows 10","1.17kg",89864.1792,64
721,"HP","2 in 1 Convertible","13.3","IPS Panel Touchscreen 1366x768","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.58kg",44574.048,8
722,"Lenovo","Ultrabook","14","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.32kg",79866.72,8
723,"Dell","Gaming","17.3","4K Ultra HD 3840x2160","Intel Core i7 7700HQ 2.8GHz","32GB","1TB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10","4.36kg",194972.832,32
724,"MSI","Gaming","17.3","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.7kg",71847.0144,8
725,"Lenovo","Notebook","15.6","1366x768","Intel Core i5 7200U 2.5GHz","4GB","1TB HDD","Intel HD Graphics 620","No OS","1.9kg",26101.872,4
727,"Dell","2 in 1 Convertible","13.3","Full HD / Touchscreen 1920x1080","Intel Core i3 7100U 2.4GHz","4GB","1TB HDD","Intel HD Graphics 620","Windows 10","1.71kg",34578.72,4
728,"Dell","Notebook","15.6","1366x768","Intel Core i5 7200U 2.5GHz","8GB","1TB HDD","AMD Radeon R7 M445","Linux","2.32kg",31409.6256,8
729,"HP","Notebook","15.6","Full HD 1920x1080","AMD A9-Series 9420 3GHz","4GB","1TB HDD","AMD Radeon 520","Windows 10","2.1kg",26053.92,4
730,"Acer","Gaming","17.3","IPS Panel Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","16GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","4.2kg",103096.8,16
731,"Dell","Notebook","15.6","1366x768","Intel Core i5 7200U 2.5GHz","12GB","1TB HDD","Intel HD Graphics 620","Windows 10","2.25kg",34578.72,12
732,"HP","Notebook","15.6","Full HD 1920x1080","AMD A9-Series A9-9420 3GHz","6GB","128GB SSD +  1TB HDD","AMD Radeon 520","Windows 10","2.1kg",34632,6
733,"Acer","Notebook","15.6","1366x768","Intel Core i5 7200U 2.5GHz","4GB","500GB HDD","Intel HD Graphics 620","Windows 10","2.4kg",29783.52,4
734,"Lenovo","Notebook","13.3","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.44kg",51148.8,8
735,"Lenovo","Notebook","15.6","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","4GB","1TB HDD","Intel HD Graphics 620","Windows 10","1.85kg",41505.12,4
736,"HP","Workstation","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD","Nvidia Quadro M2200","Windows 10","2.6kg",128884.32,16
737,"Dell","2 in 1 Convertible","13.3","Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","1TB HDD","Intel UHD Graphics 620","Windows 10","1.55kg",35111.52,8
738,"MSI","Gaming","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","1.8kg",111593.8944,16
739,"Acer","Notebook","15.6","1366x768","Intel Core i3 6006U 2GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 10","2.4kg",21887.424,4
740,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce 940MX","Windows 10","2.0kg",64308.96,8
741,"Dell","Notebook","15.6","1366x768","Intel Core i3 6006U 2GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","2kg",35431.2,8
742,"Toshiba","Notebook","14","IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.25kg",81784.8,8
743,"Lenovo","2 in 1 Convertible","14","Full HD / Touchscreen 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.7kg",53226.72,8
744,"Lenovo","Workstation","15.6","IPS Panel 4K Ultra HD 3840x2160","Intel Core i7 7600U 2.8GHz","16GB","1TB SSD","Nvidia Quadro M520M","Windows 10","2.5kg",175770.72,16
745,"Acer","Notebook","14","1366x768","Intel Celeron Dual Core N3060 1.6GHz","2GB","32GB Flash Storage","Intel HD Graphics 400","Chrome OS","1.68kg",17582.4,2
746,"Samsung","Ultrabook","13.3","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","16GB","256GB SSD","Intel HD Graphics 620","Windows 10","0.81kg",87858.72,16
748,"Dell","Notebook","14","1366x768","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.6kg",60031.1088,8
749,"HP","Workstation","17.3","IPS Panel Full HD 1920x1080","Intel Xeon E3-1535M v5 2.9GHz","16GB","256GB SSD","Nvidia Quadro M2000M","Windows 7","3kg",233845.92,16
750,"Lenovo","Netbook","11.6","Touchscreen 1366x768","Intel Celeron Dual Core N3060 1.6GHz","4GB","128GB SSD","Intel HD Graphics 400","Windows 10","1.4kg",25308,4
751,"HP","Notebook","15.6","Full HD 1920x1080","Intel Core i5 6300U 2.4GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","1.84kg",101232,8
752,"Asus","Notebook","15.6","1366x768","Intel Core i5 6300HQ 2.3GHz","4GB","1TB HDD","Nvidia GeForce GTX 950M","No OS","2.45kg",30849.12,4
754,"Asus","Notebook","15.6","1366x768","Intel Core i7 7500U 2.7GHz","4GB","256GB SSD","Intel HD Graphics 620","Windows 10","2.37kg",45282.672,4
755,"Lenovo","2 in 1 Convertible","13.3","IPS Panel Quad HD+ / Touchscreen 3200x1800","Intel Core i5 6260U 1.8GHz","8GB","256GB SSD","Intel HD Graphics 540","Windows 10","1.3kg",63882.72,8
756,"HP","Notebook","15.6","IPS Panel Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.2kg",58554.72,8
757,"HP","Workstation","15.6","Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","8GB","256GB SSD","Nvidia Quadro M1000M","Windows 7","2.59kg",83170.08,8
758,"Dell","Gaming","15.6","IPS Panel 4K Ultra HD 3840x2160","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10","4.42kg",152859.7872,16
759,"Acer","Notebook","15.6","1366x768","Intel Core i5 7200U 2.5GHz","4GB","256GB SSD","Intel HD Graphics 620","Windows 10","2.1kg",31914.72,4
760,"Lenovo","Gaming","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.5kg",55837.44,8
761,"Dell","Ultrabook","12.5","Full HD 1920x1080","Intel Core i7 7600U 2.8GHz","16GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.18kg",99047.52,16
762,"Google","Ultrabook","12.3","Touchscreen 2400x1600","Intel Core i5 7Y57 1.2GHz","8GB","256GB SSD","Intel HD Graphics 615","Chrome OS","1.1kg",83063.52,8
763,"Asus","Ultrabook","13.3","IPS Panel Quad HD+ 3200x1800","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.2kg",60153.12,8
764,"Dell","Notebook","13.3","1366x768","Intel Core i3 6006U 2GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 10","1.65kg",45234.72,4
765,"Acer","Notebook","13.3","1366x768","Intel Core i5 6200U 2.3GHz","4GB","128GB SSD","Intel HD Graphics 520","Windows 10","1.6kg",34898.4,4
766,"Asus","Notebook","17.3","1366x768","Intel Pentium Quad Core N4200 1.1GHz","4GB","1TB HDD","Nvidia GeForce 920MX","Windows 10","2.8kg",25059.7152,4
767,"Dell","Gaming","15.6","IPS Panel Touchscreen / 4K Ultra HD 3840x2160","Intel Core i7 6700HQ 2.6GHz","16GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 960M","Windows 10","2.72kg",58554.72,16
768,"Samsung","Ultrabook","13.3","Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.31kg",85194.72,8
769,"Acer","Notebook","15.6","1366x768","Intel Pentium Quad Core N4200 1.1GHz","4GB","1TB HDD","Intel HD Graphics 505","Linux","2.1kg",15877.44,4
770,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","16GB","?","AMD Radeon R7 M445","Windows 10","2.3kg",62938.0656,16
771,"Samsung","2 in 1 Convertible","15","Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz","16GB","256GB SSD","AMD Radeon 540","Windows 10","1.71kg",95850.72,16
772,"Toshiba","Notebook","14","IPS Panel 1366x768","Intel Core i5 6200U 2.3GHz","4GB","128GB SSD","Intel HD Graphics 520","Windows 10","1.75kg",54345.6,4
773,"Dell","Gaming","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.62kg",58554.72,8
775,"Asus","2 in 1 Convertible","15.6","Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz","12GB","2TB HDD","Nvidia GeForce 940MX","Windows 10","2.3kg",44701.92,12
776,"Lenovo","Notebook","15.6","4K Ultra HD 3840x2160","Intel Core i7 6820HQ 2.7GHz","16GB","512GB SSD","Nvidia Quadro M2000M","Windows 7","2.5kg",126273.6,16
777,"Acer","Notebook","14","IPS Panel Full HD 1920x1080","Intel Core i3 7100U 2.4GHz","4GB","128GB SSD","Intel HD Graphics 620","Windows 10","1.8kg",33886.08,4
778,"Razer","Gaming","14","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","512GB SSD","Nvidia GeForce GTX 1060","Windows 10","1.95kg",154458.72,16
779,"Asus","Notebook","15.6","1920x1080","Intel Pentium Dual Core N4200 1.1GHz","8GB","128GB SSD","Intel HD Graphics 505","Windows 10","2kg",31003.632,8
780,"Dell","Gaming","17.3","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","32GB","1TB SSD +  1TB HDD","Nvidia GeForce GTX 1070M","Windows 10","4.42kg",191211.264,32
781,"Asus","Gaming","17.3","IPS Panel Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10","4.3kg",125208,16
782,"Toshiba","Ultrabook","14","IPS Panel Full HD 1920x1080","Intel Core i7 6600U 2.6GHz","16GB","512GB SSD","Nvidia GeForce 930M","Windows 10","1.47kg",93985.92,16
783,"Lenovo","Notebook","15.6","1366x768","Intel Celeron Quad Core N3710 1.6GHz","8GB","1TB HDD","Intel HD Graphics 405","No OS","2.2kg",17529.12,8
784,"Lenovo","Ultrabook","14","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","16GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.7kg",122490.72,16
785,"MSI","Gaming","14","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","1.6kg",100752.48,16
786,"MSI","Gaming","15.6","Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.2kg",58021.92,8
787,"Lenovo","Gaming","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","4GB","1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.4kg",53226.72,4
788,"Acer","Gaming","17.3","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","4.2kg",122490.72,16
789,"Dell","Gaming","15.6","Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","256GB SSD","Nvidia GeForce GTX 1050","Windows 10","2.62kg",52480.8,8
790,"Asus","Gaming","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX1060","Windows 10","2.24kg",71341.92,8
791,"Vero","Notebook","14","1920x1080","Intel Celeron Dual Core N3350 1.1GHz","4GB","32GB Flash Storage","Intel HD Graphics 500","Windows 10","1.22kg",10810.512,4
792,"Lenovo","2 in 1 Convertible","13.3","IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.37kg",104961.6,8
793,"Lenovo","2 in 1 Convertible","15.6","Full HD / Touchscreen 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","AMD Radeon R7 M460","Windows 10","2.08kg",51095.52,8
794,"Apple","Ultrabook","12","IPS Panel Retina Display 2304x1440","Intel Core M 1.2GHz","8GB","512GB Flash Storage","Intel HD Graphics 5300","Mac OS X","0.920kg",62071.2,8
795,"Lenovo","2 in 1 Convertible","14","IPS Panel Touchscreen 2560x1440","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.42kg",124142.4,8
796,"Asus","Notebook","14","1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","32GB Flash Storage","Intel HD Graphics 500","Windows 10","1.63kg",15930.72,4
797,"Dell","Notebook","15.6","1366x768","Intel Core i5 7200U 2.5GHz","8GB","128GB SSD","Intel HD Graphics 620","Windows 10","1.95kg",43156.8,8
798,"Lenovo","2 in 1 Convertible","13.9","IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.38kg",71874.72,8
799,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i3 6006U 2GHz","8GB","256GB SSD","AMD Radeon R5 M420X","Windows 10","2kg",39373.92,8
800,"HP","Workstation","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD","Nvidia Quadro M2200","Windows 10","3.14kg",110017.872,8
801,"Asus","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","2.37kg",58554.72,8
802,"Dell","Ultrabook","13.3","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.29kg",79866.72,8
803,"Dell","Notebook","15.6","4K Ultra HD / Touchscreen 3840x2160","Intel Core i5 7300HQ 2.5GHz","8GB","256GB SSD","Nvidia GeForce GTX 1050","Windows 10","2.06kg",93186.72,8
804,"Dell","Netbook","11.6","1366x768","Intel Pentium Quad Core N4200 1.1GHz","4GB","128GB SSD","Intel HD Graphics 505","Windows 10","1.63kg",39640.32,4
805,"HP","Netbook","12.5","1366x768","Intel Core i5 7300U 2.6GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.26kg",74005.92,8
806,"Toshiba","Notebook","15.6","1366x768","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 10","2.1kg",41558.4,4
807,"HP","Notebook","15.6","1366x768","AMD A12-Series 9700P 2.5GHz","8GB","2TB HDD","AMD Radeon R7 Graphics","Windows 10","2.04kg",33513.12,8
808,"Dell","Gaming","15.6","4K Ultra HD 3840x2160","Intel Core i7 7700HQ 2.8GHz","16GB","512GB SSD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.62kg",89457.12,16
809,"Lenovo","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","1TB HDD","Nvidia GeForce 920M","Windows 10","2.4kg",32447.52,4
810,"HP","Gaming","17.3","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","12GB","1TB HDD","AMD Radeon RX 580","Windows 10","3.74kg",93186.72,12
811,"MSI","Gaming","17.3","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","512GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10","2.9kg",128671.2,16
812,"Samsung","Ultrabook","13.3","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","0.81kg",79866.72,8
813,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","1TB HDD","Nvidia GeForce GT 940MX","Windows 10","1.98kg",51202.08,8
814,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","AMD Radeon R5 M420","Windows 10","2.18kg",42081.0768,8
815,"Lenovo","Ultrabook","14","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.32kg",99047.52,8
816,"Razer","Ultrabook","12.5","IPS Panel 4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 7500U 2.5GHz","16GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.29kg",95850.72,16
817,"HP","Netbook","11.6","1366x768","Intel Celeron Dual Core N3060 1.6GHz","4GB","16GB Flash Storage","Intel HD Graphics 400","Chrome OS","1.23kg",20512.8,4
818,"Dell","Gaming","17.3","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","4.36kg",133467.4656,16
819,"Dell","Notebook","14","1366x768","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 10","1.76kg",40226.4,4
820,"Lenovo","Notebook","15.6","1366x768","Intel Core i3 6006U 2GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 10","2.1kg",26101.872,4
821,"Toshiba","Ultrabook","14","1366x768","Intel Core i5 7200U 2.5GHz","4GB","128GB SSD","Intel HD Graphics 620","Windows 10","1.25kg",58075.2,4
822,"Lenovo","Ultrabook","14","IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.13kg",133146.72,8
823,"MSI","Gaming","15.6","Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","256GB SSD","Nvidia GeForce GTX 1050","Windows 10","2.4kg",63882.72,8
824,"Lenovo","Ultrabook","14","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB Flash Storage","Intel HD Graphics 620","Windows 10","1.13kg",99900,8
825,"Toshiba","Notebook","14","1366x768","Intel Pentium Dual Core 4405U 2.1GHz","4GB","128GB SSD","Intel HD Graphics 510","Windows 10","1.75kg",26586.72,4
